endTime,artistName,trackName,msPlayed,weekday,hour
2019-01-01 02:10:00,Buena Vista Social Club,Chan Chan,23167,Tuesday,2
2019-01-01 02:11:00,Buena Vista Social Club,Chan Chan,16011,Tuesday,2
2019-01-01 02:11:00,Buena Vista Social Club,De Camino a La Vereda,10375,Tuesday,2
2019-01-01 02:11:00,The Neighbourhood,A Moment of Silence,16346,Tuesday,2
2019-01-01 02:12:00,The Neighbourhood,Prey,14707,Tuesday,2
2019-01-01 02:17:00,Buena Vista Social Club,De Camino a La Vereda,303789,Tuesday,2
2019-01-01 02:24:00,Buena Vista Social Club,El Cuarto De Tula,445458,Tuesday,2
2019-01-01 02:26:00,Buena Vista Social Club,Pueblo Nuevo,112614,Tuesday,2
2019-01-01 02:29:00,Buena Vista Social Club,Dos Gardenias,183902,Tuesday,2
2019-01-01 02:32:00,Buena Vista Social Club,¿Y Tú Qué Has Hecho?,193921,Tuesday,2
2019-01-01 02:36:00,Buena Vista Social Club,Veinte Anos,211434,Tuesday,2
2019-01-01 02:40:00,Buena Vista Social Club,El Carretero,210060,Tuesday,2
2019-01-01 02:45:00,Buena Vista Social Club,Candela,329079,Tuesday,2
2019-01-01 02:49:00,Buena Vista Social Club,Amor De Loca Juventud,203005,Tuesday,2
2019-01-01 02:52:00,Buena Vista Social Club,Orgullecida,199126,Tuesday,2
2019-01-01 02:56:00,Buena Vista Social Club,Murmullo,231419,Tuesday,2
2019-01-01 03:01:00,Buena Vista Social Club,Buena Vista Social Club,292573,Tuesday,3
2019-01-01 03:04:00,Buena Vista Social Club,La Bayamesa,173588,Tuesday,3
2019-01-01 03:09:00,The Neighbourhood,Cry Baby,235160,Tuesday,3
2019-01-01 03:13:00,The Neighbourhood,Wiped Out!,268639,Tuesday,3
2019-01-01 03:17:00,The Neighbourhood,Flawless,246493,Tuesday,3
2019-01-01 03:21:00,The Neighbourhood,Afraid,251186,Tuesday,3
2019-01-01 03:25:00,The Neighbourhood,Everybody's Watching Me (Uh Oh),238026,Tuesday,3
2019-01-01 03:29:00,The Neighbourhood,Sweater Weather,240400,Tuesday,3
2019-01-01 03:31:00,The Neighbourhood,Let It Go,79046,Tuesday,3
2019-01-01 03:35:00,The Strokes,Machu Picchu,209626,Tuesday,3
2019-01-01 03:37:00,The Strokes,Welcome To Japan,113681,Tuesday,3
2019-01-01 03:40:00,The Strokes,Taken for a Fool,201019,Tuesday,3
2019-01-01 03:44:00,Oasis,Acquiesce - Remastered,240294,Tuesday,3
2019-01-01 03:48:00,Oasis,The Swamp Song - Remastered,234428,Tuesday,3
2019-01-01 03:56:00,Oasis,Hello - Remastered,164616,Tuesday,3
2019-01-01 12:55:00,Little Big,Skibidi,71000,Tuesday,12
2019-01-01 13:05:00,Little Big,Skibidi,18120,Tuesday,13
2019-01-01 13:57:00,Queens of the Stone Age,Monsters In The Parasol,207653,Tuesday,13
2019-01-01 14:01:00,Queens of the Stone Age,Auto Pilot,240986,Tuesday,14
2019-01-01 14:08:00,Queens of the Stone Age,Quick And To The Pointless,75062,Tuesday,14
2019-01-01 15:09:00,Queens of the Stone Age,In The Fade/Feel Good Hit Of The Summer (Reprise),50000,Tuesday,15
2019-01-01 16:51:00,Queens of the Stone Age,Monsters In The Parasol,197638,Tuesday,16
2019-01-01 16:54:00,Queens of the Stone Age,Feel Good Hit Of The Summer,163266,Tuesday,16
2019-01-01 16:58:00,Queens of the Stone Age,The Lost Art Of Keeping A Secret,216013,Tuesday,16
2019-01-01 17:00:00,Queens of the Stone Age,Leg Of Lamb,168653,Tuesday,17
2019-01-01 17:04:00,Queens of the Stone Age,Auto Pilot,240986,Tuesday,17
2019-01-01 17:10:00,Queens of the Stone Age,Better Living Through Chemistry,349200,Tuesday,17
2019-01-01 17:14:00,Queens of the Stone Age,Monsters In The Parasol,207653,Tuesday,17
2019-01-01 17:15:00,Queens of the Stone Age,Quick And To The Pointless,102640,Tuesday,17
2019-01-01 17:18:00,Queens of the Stone Age,In The Fade/Feel Good Hit Of The Summer (Reprise),27776,Tuesday,17
2019-01-01 18:20:00,Tom Odell,Another Love,244360,Tuesday,18
2019-01-01 18:24:00,James Bay,Hold Back The River,238746,Tuesday,18
2019-01-01 18:28:00,Hozier,Take Me To Church,241688,Tuesday,18
2019-01-01 18:32:00,Birdy,People Help the People,256236,Tuesday,18
2019-01-01 21:07:00,Queen,Bohemian Rhapsody - 2011 Mix,349592,Tuesday,21
2019-01-01 21:15:00,Pink Floyd,High Hopes - 2011 Remaster,451688,Tuesday,21
2019-01-01 21:20:00,Pink Floyd,Wish You Were Here - 2011 Remastered Version,334743,Tuesday,21
2019-01-01 21:31:00,Pink Floyd,"Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remastered Version",649404,Tuesday,21
2019-01-01 21:38:00,Pink Floyd,Time - 2011 Remastered Version,413947,Tuesday,21
2019-01-01 21:43:00,Pink Floyd,The Great Gig In The Sky - 2011 Remastered Version,283872,Tuesday,21
2019-01-01 21:49:00,Pink Floyd,Money - 2011 Remastered Version,382834,Tuesday,21
2019-01-01 21:57:00,Pink Floyd,Us And Them - 2011 Remastered Version,469224,Tuesday,21
2019-01-01 22:00:00,Pink Floyd,Any Colour You Like - 2011 Remastered Version,206429,Tuesday,22
2019-01-01 22:04:00,Pink Floyd,Brain Damage - 2011 Remastered Version,226666,Tuesday,22
2019-01-01 22:06:00,Pink Floyd,Eclipse - 2011 Remastered Version,130428,Tuesday,22
2019-01-01 22:19:00,Pink Floyd,"Echoes - Live At Pompeii, 2016 Remix",782812,Tuesday,22
2019-01-01 22:21:00,Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version",87429,Tuesday,22
2019-01-02 08:26:00,The Strokes,Taken for a Fool,203240,Wednesday,8
